brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url,cluster_label,is_outlier
Samsung,M580 Replenish,CDMA / CDMA2000,CDMA 800 / 1900 ,CDMA2000 1x ,,EV-DO Rev.0  153.2 Kbps,No,No,2011  April,Available. Released 2011  May 8th,123 x 60 x 11 mm (4.84 x 2.36 x 0.43 in),116,4.09,Mini-SIM,TFT touchscreen   256K colors,2.8 inches (~32.9% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),Android 2.2 (Froyo)| upgradable to 2.3 (Gingerbread),600 MHz,Qualcomm MSM7627-2,,microSD  up to 32 GB (dedicated slot)  2 GB included,512 MB,256 MB RAM,2 MP,No,Yes,Yes,Wi-Fi 802.11 b/g| hotspot (charges may apply),2.1| A2DP,Yes with A-GPS,,,microUSB 2.0,,Removable Li-Ion 1160 mAh battery,Black| Blue| Raspberry Pink,80.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-replenish.jpg,-1,True
Pantech,G500,GSM,GSM 900 / 1800 ,,,,Class 8,No,2004,Discontinued,85 x 41 x 22 mm (3.35 x 1.61 x 0.87 in),90,3.17,Mini-SIM,TFT  256K colors,,128 x 160 pixels| 8 lines,,,,,No,2.5 MB,,VGA| LED flash,No,No,No,No,No,No,,No,,,Removable Li-Ion battery,Red| Silver| Pearl White,,http://cdn2.gsmarena.com/vv/bigpic/pthg500.gif,0,False
ZTE,Blade L5 Plus,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,,HSPA 21.1/5.76 Mbps,Yes,Yes,2016  April,Available. Released 2016  April,143 x 72 x 8.3 mm (5.63 x 2.83 x 0.33 in),160,5.64,Dual SIM,Capacitive touchscreen  16M colors,5.0 inches (~66.9% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6580,Mali-400MP2,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP| LE,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2150 mAh battery,Gray| White,90.0,http://cdn2.gsmarena.com/vv/bigpic/zte-blade-l5-plus-r.jpg,0,False
verykool,T7445,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM1 & SIM 2,HSDPA 850 / 1900 ,,HSPA 21.1/5.76 Mbps,Yes,Yes,2017  June,Available. Released 2017  June,189.8 x 109.7 x 10.6 mm (7.47 x 4.32 x 0.42 in),275,6.17,Dual SIM (Mini-SIM| Micro-SIM),TFT capacitive touchscreen  16M colors,7.0 inches (~66.2% screen-to-body ratio),600 x 1024 pixels (~170 ppi pixel density),Android 7.0 (Nougat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT8321,Mali-400,microSD  up to 64 GB,8 GB,1 GB RAM,5 MP| f/2.4| LED flash,2 MP| LED flash,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP| LE,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer,Li-Po 2500 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/verykool-t7445.jpg,0,False
Cat,S50,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,LTE band 1(2100)| 3(1800)| 5(850)| 7(2600)| 8(900)| 20(800),HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2014  September,Available. Released 2014  November,144.5 x 77 x 12.7 mm (5.69 x 3.03 x 0.5 in),185,6.53,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,4.7 inches (~54.7% screen-to-body ratio),720 x 1280 pixels (~312 ppi pixel density),Android 4.4 (KitKat),Quadcore 1.2 GHz Cortex-A7,Qualcomm MSM8926 Snapdragon 400,Adreno 305,microSD  up to 64 GB (dedicated slot),8 GB,2 GB RAM,8 MP| autofocus| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP| LE,Yes with A-GPS GLONASS,Yes,FM radio,microUSB 2.0| USB Host,Accelerometer| proximity| compass,Non-removable Li-Ion 2630 mAh battery,Forest| Slate,460.0,http://cdn2.gsmarena.com/vv/bigpic/cat-s50.jpg,-1,True
BenQ,P31,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2004  1Q,Discontinued,118 x 52 x 17 mm (4.65 x 2.05 x 0.67 in),150,5.29,Mini-SIM,TFT resistive touchscreen  65K colors,,208 x 320 pixels,Symbian 7.0| UIQ v2.1 UI,144 MHz,TI OMAP V1030,,SD/MMC,,,1.3 MP,No,Yes,No,No,1.1,No,,No,Yes,,Removable Li-Ion battery,,,http://cdn2.gsmarena.com/vv/bigpic/bqp31.gif,0,False
Micromax,A90s,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 7.2/5.76 Mbps,Class 12,Class 12,2012  Q3,Available. Released 2012  November,127.2 x 66.8 x 9.8 mm (5.01 x 2.63 x 0.39 in),118.4,4.16,Dual SIM (Mini-SIM),Super AMOLED capacitive touchscreen  256K colors,4.3 inches (~61.9% screen-to-body ratio),480 x 800 pixels (~217 ppi pixel density),Android 4.0.3 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A9,Mediatek MT6577,PowerVR SGX531u,microSD  up to 32 GB (dedicated slot),4 GB (2 GB user available),512 MB RAM,8 MP| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1600 mAh battery,Black,190.0,http://cdn2.gsmarena.com/vv/bigpic/micromax-a90s.jpg,-1,True
LG,U400,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,Yes  384 kbps,Yes,Yes,2006  July,Discontinued,99.8 x 48 x 20.4 mm (3.93 x 1.89 x 0.80 in),114,4.02,Mini-SIM,TFT  256K colors,2.0 inches (~25.9% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),,,,,microSD (dedicated slot),,,2 MP,VGA videocall camera,Yes,No,No,2.0| A2DP,No,,No,Yes,,Removable Li-Ion battery,Black| Silver,,http://cdn2.gsmarena.com/vv/bigpic/lg-u400.gif,0,False
Samsung,Xcover 271,GSM / UMTS,GSM 850 / 900 / 1800 / 1900 ,UMTS 900 / 2100 ,,Yes  384 kbps,Class 10,Class 10,2010  September. Released 2010  October,Discontinued,120.7 x 53 x 17.9 mm (4.75 x 2.09 x 0.70 in),115,4.06,Mini-SIM,TFT  256K colors,2.0 inches (~19.4% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),,,,,microSD (dedicated slot),30 MB,,2 MP,No,Yes,No,No,2.0| A2DP,Yes with A-GPS; Google Maps,,Stereo FM radio| RDS| recording,Yes,Compass,Removable Li-Ion 1300 mAh battery,Black| Blue,110.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-b2710-ofic.jpg,0,False
LG,G5 SE,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - H840,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 17(700)| 20(800)| 28(700)| 38(2600)| 40(2300) - H840,HSPA 42.2/5.76 Mbps  LTE Cat6 300/50 Mbps,Yes,Yes,2016  April,Available. Released 2016  June,149.4 x 73.9 x 7.3 mm (5.88 x 2.91 x 0.29 in),156,5.5,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.3 inches (~70.1% screen-to-body ratio),1440 x 2560 pixels (~554 ppi pixel density),Android 6.0.1 (Marshmallow)| upgradable to 7.0 (Nougat),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.2 GHz Cortex-A53),Qualcomm MSM8976 Snapdragon 652,Adreno 510,microSD  up to 256 GB (dedicated slot),32 GB,3 GB RAM,Dual 16 MP (f/1.8) + 8 MP (f/2.4)| laser autofocus| OIS (3-axis)| LED flash,8 MP| f/2.0| 1080p@30fps,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| Wi-Fi Direct| DLNA| hotspot,4.2| A2DP| LE| aptX,Yes with A-GPS GLONASS,Yes,FM radio,2.0| Type-C 1.0 reversible connector| USB On-The-Go,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass| barometer| color spectrum,Removable Li-Ion 2800 mAh battery,Silver| Titan| Gold,350.0,http://cdn2.gsmarena.com/vv/bigpic/lg-g5.jpg,-1,True
